scale_factor,config_id,engine,threads,ratio_mode,cpu_ratio,gpu_ratio,request_index,status,result_hash,query_total_ms,cpu_scan_ms,gpu_kernel_ms,h2d_ms,d2h_ms,overlap_wall_ms,input_lineitem_rows,matched_lineitem_rows,cpu_input_rows,gpu_input_rows,h2d_bytes,d2h_bytes,mapped_remote_read_bytes,throughput_rows_per_second,selected_cpu_ratio
1,cpu-specialized-t32,cpu-specialized,32,fixed,1.0,0.0,7,ok,542abf4003633c7c,3.283894,3.213549,0.0,0.0,0.0,0.0,6001215,7243,6001215,0,0,0,0,1827469157.0434368,1.0
1,cpu-specialized-t32,cpu-specialized,32,fixed,1.0,0.0,8,ok,542abf4003633c7c,3.421027,3.351384,0.0,0.0,0.0,0.0,6001215,7243,6001215,0,0,0,0,1754214450.8067315,1.0
1,cpu-specialized-t32,cpu-specialized,32,fixed,1.0,0.0,9,ok,542abf4003633c7c,3.185168,3.113251,0.0,0.0,0.0,0.0,6001215,7243,6001215,0,0,0,0,1884112549.1653814,1.0
1,cpu-specialized-t32,cpu-specialized,32,fixed,1.0,0.0,10,ok,542abf4003633c7c,3.289532,3.221681,0.0,0.0,0.0,0.0,6001215,7243,6001215,0,0,0,0,1824337018.1533422,1.0
1,cpu-specialized-t32,cpu-specialized,32,fixed,1.0,0.0,11,ok,542abf4003633c7c,3.394187,3.324214,0.0,0.0,0.0,0.0,6001215,7243,6001215,0,0,0,0,1768086142.5725806,1.0
1,cpu-specialized-t32,cpu-specialized,32,fixed,1.0,0.0,12,ok,542abf4003633c7c,3.384042,3.312155,0.0,0.0,0.0,0.0,6001215,7243,6001215,0,0,0,0,1773386677.8249207,1.0
1,arrow-acero-t08,arrow-acero,8,fixed,1.0,0.0,3,ok,542abf4003633c7c,312.037736,26.689029,0.0,0.0,0.0,0.0,6001215,7243,6001215,0,0,0,0,19232337.334994636,1.0
1,arrow-acero-t08,arrow-acero,8,fixed,1.0,0.0,4,ok,542abf4003633c7c,326.989853,38.676533,0.0,0.0,0.0,0.0,6001215,7243,6001215,0,0,0,0,18352908.950969804,1.0
1,arrow-acero-t08,arrow-acero,8,fixed,1.0,0.0,5,ok,542abf4003633c7c,319.979229,25.889915,0.0,0.0,0.0,0.0,6001215,7243,6001215,0,0,0,0,18755014.251253165,1.0
1,arrow-acero-t08,arrow-acero,8,fixed,1.0,0.0,6,ok,542abf4003633c7c,329.303502,40.866267,0.0,0.0,0.0,0.0,6001215,7243,6001215,0,0,0,0,18223963.497357525,1.0
1,arrow-acero-t08,arrow-acero,8,fixed,1.0,0.0,7,ok,542abf4003633c7c,331.084211,40.777796,0.0,0.0,0.0,0.0,6001215,7243,6001215,0,0,0,0,18125947.419461813,1.0
1,arrow-acero-t08,arrow-acero,8,fixed,1.0,0.0,8,ok,542abf4003633c7c,318.137265,26.110913,0.0,0.0,0.0,0.0,6001215,7243,6001215,0,0,0,0,18863602.791078247,1.0
1,arrow-acero-t08,arrow-acero,8,fixed,1.0,0.0,9,ok,542abf4003633c7c,311.42125,22.495759,0.0,0.0,0.0,0.0,6001215,7243,6001215,0,0,0,0,19270409.453433253,1.0
1,arrow-acero-t08,arrow-acero,8,fixed,1.0,0.0,10,ok,542abf4003633c7c,327.019345,34.623842,0.0,0.0,0.0,0.0,6001215,7243,6001215,0,0,0,0,18351253.807324458,1.0
1,arrow-acero-t08,arrow-acero,8,fixed,1.0,0.0,11,ok,542abf4003633c7c,336.807031,39.474196,0.0,0.0,0.0,0.0,6001215,7243,6001215,0,0,0,0,17817962.357205067,1.0
1,arrow-acero-t08,arrow-acero,8,fixed,1.0,0.0,12,ok,542abf4003633c7c,313.674731,25.328044,0.0,0.0,0.0,0.0,6001215,7243,6001215,0,0,0,0,19131968.26811019,1.0
1,arrow-acero-t16,arrow-acero,16,fixed,1.0,0.0,3,ok,542abf4003633c7c,306.129612,17.464137,0.0,0.0,0.0,0.0,6001215,7243,6001215,0,0,0,0,19603510.293541938,1.0
1,arrow-acero-t16,arrow-acero,16,fixed,1.0,0.0,4,ok,542abf4003633c7c,319.783407,32.547468,0.0,0.0,0.0,0.0,6001215,7243,6001215,0,0,0,0,18766499.03851953,1.0
1,arrow-acero-t16,arrow-acero,16,fixed,1.0,0.0,5,ok,542abf4003633c7c,296.258414,18.900915,0.0,0.0,0.0,0.0,6001215,7243,6001215,0,0,0,0,20256690.49858614,1.0
1,arrow-acero-t16,arrow-acero,16,fixed,1.0,0.0,6,ok,542abf4003633c7c,324.616878,24.655739,0.0,0.0,0.0,0.0,6001215,7243,6001215,0,0,0,0,18487070.163985744,1.0
1,arrow-acero-t16,arrow-acero,16,fixed,1.0,0.0,7,ok,542abf4003633c7c,333.639684,16.866101,0.0,0.0,0.0,0.0,6001215,7243,6001215,0,0,0,0,17987113.906989556,1.0
1,arrow-acero-t16,arrow-acero,16,fixed,1.0,0.0,8,ok,542abf4003633c7c,320.954276,31.472847,0.0,0.0,0.0,0.0,6001215,7243,6001215,0,0,0,0,18698037.22446745,1.0
1,arrow-acero-t16,arrow-acero,16,fixed,1.0,0.0,9,ok,542abf4003633c7c,304.224337,20.12593,0.0,0.0,0.0,0.0,6001215,7243,6001215,0,0,0,0,19726281.793162394,1.0
1,arrow-acero-t16,arrow-acero,16,fixed,1.0,0.0,10,ok,542abf4003633c7c,366.390417,38.436952,0.0,0.0,0.0,0.0,6001215,7243,6001215,0,0,0,0,16379290.291317854,1.0
1,arrow-acero-t16,arrow-acero,16,fixed,1.0,0.0,11,ok,542abf4003633c7c,345.699943,32.289126,0.0,0.0,0.0,0.0,6001215,7243,6001215,0,0,0,0,17359606.564933684,1.0
1,arrow-acero-t16,arrow-acero,16,fixed,1.0,0.0,12,ok,542abf4003633c7c,308.905504,20.005392,0.0,0.0,0.0,0.0,6001215,7243,6001215,0,0,0,0,19427348.889192987,1.0
1,arrow-acero-t32,arrow-acero,32,fixed,1.0,0.0,3,ok,542abf4003633c7c,296.226522,17.876388,0.0,0.0,0.0,0.0,6001215,7243,6001215,0,0,0,0,20258871.35116146,1.0
1,arrow-acero-t32,arrow-acero,32,fixed,1.0,0.0,4,ok,542abf4003633c7c,323.532387,31.968772,0.0,0.0,0.0,0.0,6001215,7243,6001215,0,0,0,0,18549039.41966094,1.0
1,arrow-acero-t32,arrow-acero,32,fixed,1.0,0.0,5,ok,542abf4003633c7c,298.909407,19.455097,0.0,0.0,0.0,0.0,6001215,7243,6001215,0,0,0,0,20077036.25065236,1.0
1,arrow-acero-t32,arrow-acero,32,fixed,1.0,0.0,6,ok,542abf4003633c7c,310.066576,22.735246,0.0,0.0,0.0,0.0,6001215,7243,6001215,0,0,0,0,19354601.44533605,1.0
1,arrow-acero-t32,arrow-acero,32,fixed,1.0,0.0,7,ok,542abf4003633c7c,296.352832,16.866894,0.0,0.0,0.0,0.0,6001215,7243,6001215,0,0,0,0,20250236.717832346,1.0
1,arrow-acero-t32,arrow-acero,32,fixed,1.0,0.0,8,ok,542abf4003633c7c,343.482433,32.136662,0.0,0.0,0.0,0.0,6001215,7243,6001215,0,0,0,0,17471679.54874711,1.0
1,arrow-acero-t32,arrow-acero,32,fixed,1.0,0.0,9,ok,542abf4003633c7c,312.856131,19.254841,0.0,0.0,0.0,0.0,6001215,7243,6001215,0,0,0,0,19182027.792832356,1.0
1,arrow-acero-t32,arrow-acero,32,fixed,1.0,0.0,10,ok,542abf4003633c7c,336.117527,39.457896,0.0,0.0,0.0,0.0,6001215,7243,6001215,0,0,0,0,17854513.727872334,1.0
1,arrow-acero-t32,arrow-acero,32,fixed,1.0,0.0,11,ok,542abf4003633c7c,327.522296,31.669961,0.0,0.0,0.0,0.0,6001215,7243,6001215,0,0,0,0,18323073.187054113,1.0
1,arrow-acero-t32,arrow-acero,32,fixed,1.0,0.0,12,ok,542abf4003633c7c,306.321025,19.550819,0.0,0.0,0.0,0.0,6001215,7243,6001215,0,0,0,0,19591260.508481257,1.0
1,gpu-copy,gpu-copy,1,fixed,0.0,1.0,3,ok,542abf4003633c7c,1.263051,0.0,1.2298239469528198,0.0,0.01600000075995922,0.0,6001215,7243,0,6001215,0,212,0,4751363959.175045,0.0
1,gpu-copy,gpu-copy,1,fixed,0.0,1.0,4,ok,542abf4003633c7c,1.253807,0.0,1.2216320037841797,0.0,0.01635199971497059,0.0,6001215,7243,0,6001215,0,212,0,4786394556.737999,0.0
1,gpu-copy,gpu-copy,1,fixed,0.0,1.0,5,ok,542abf4003633c7c,1.270302,0.0,1.235967993736267,0.0,0.017152000218629837,0.0,6001215,7243,0,6001215,0,212,0,4724242739.128176,0.0
1,gpu-copy,gpu-copy,1,fixed,0.0,1.0,6,ok,542abf4003633c7c,1.2753,0.0,1.2421120405197144,0.0,0.01692800037562847,0.0,6001215,7243,0,6001215,0,212,0,4705728063.984944,0.0
1,gpu-copy,gpu-copy,1,fixed,0.0,1.0,7,ok,542abf4003633c7c,1.260377,0.0,1.227776050567627,0.0,0.016672000288963318,0.0,6001215,7243,0,6001215,0,212,0,4761444393.225202,0.0
1,gpu-copy,gpu-copy,1,fixed,0.0,1.0,8,ok,542abf4003633c7c,1.265074,0.0,1.2339199781417847,0.0,0.015456000342965126,0.0,6001215,7243,0,6001215,0,212,0,4743765977.326227,0.0
1,gpu-copy,gpu-copy,1,fixed,0.0,1.0,9,ok,542abf4003633c7c,1.268929,0.0,1.2369920015335083,0.0,0.016575999557971954,0.0,6001215,7243,0,6001215,0,212,0,4729354439.846517,0.0
1,gpu-copy,gpu-copy,1,fixed,0.0,1.0,10,ok,542abf4003633c7c,1.270502,0.0,1.2369920015335083,0.0,0.01724799908697605,0.0,6001215,7243,0,6001215,0,212,0,4723499057.852723,0.0
