Time (%),Total Time (ns),Count,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Operation
74.1,3488,3,1162.7,1056.0,896,1536,333.1,[CUDA memcpy Device-to-Host]
25.9,1216,3,405.3,384.0,352,480,66.6,[CUDA memset]
