Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Style,Range
44.4,32754234,3,10918078.0,12309352.0,7950194,12494688,2571932.9,PushPop,:request
16.9,12506045,1,12506045.0,12506045.0,12506045,12506045,0.0,PushPop,:measured_request
16.7,12307159,1,12307159.0,12307159.0,12307159,12307159,0.0,PushPop,:cpu_scan
11.2,8268308,1,8268308.0,8268308.0,8268308,8268308,0.0,PushPop,:hybrid_gpu_request
10.5,7779550,1,7779550.0,7779550.0,7779550,7779550,0.0,PushPop,:q5_kernel
0.1,88752,1,88752.0,88752.0,88752,88752,0.0,PushPop,:output_reset
0.1,73730,1,73730.0,73730.0,73730,73730,0.0,PushPop,:d2h
0.0,5649,1,5649.0,5649.0,5649,5649,0.0,PushPop,:merge
