experiment_id,scale_factor,engine,scenario,threads,cpu_ratio,gpu_ratio,success_count,failure_count,result_hash,query_total_ms_min,query_total_ms_median,query_total_ms_max,query_total_ms_p95,query_total_ms_stddev,process_elapsed_ms_min,process_elapsed_ms_median,process_elapsed_ms_max,process_elapsed_ms_p95,process_elapsed_ms_stddev,plan_build_ms_min,plan_build_ms_median,plan_build_ms_max,plan_build_ms_p95,plan_build_ms_stddev,h2d_ms_min,h2d_ms_median,h2d_ms_max,h2d_ms_p95,h2d_ms_stddev,cpu_scan_ms_min,cpu_scan_ms_median,cpu_scan_ms_max,cpu_scan_ms_p95,cpu_scan_ms_stddev,gpu_kernel_ms_min,gpu_kernel_ms_median,gpu_kernel_ms_max,gpu_kernel_ms_p95,gpu_kernel_ms_stddev,d2h_ms_min,d2h_ms_median,d2h_ms_max,d2h_ms_p95,d2h_ms_stddev,overlap_wall_ms_min,overlap_wall_ms_median,overlap_wall_ms_max,overlap_wall_ms_p95,overlap_wall_ms_stddev,cpu_peak_rss_bytes_min,cpu_peak_rss_bytes_median,cpu_peak_rss_bytes_max,cpu_peak_rss_bytes_p95,cpu_peak_rss_bytes_stddev,gpu_peak_memory_bytes_min,gpu_peak_memory_bytes_median,gpu_peak_memory_bytes_max,gpu_peak_memory_bytes_p95,gpu_peak_memory_bytes_stddev,throughput_rows_per_second_min,throughput_rows_per_second_median,throughput_rows_per_second_max,throughput_rows_per_second_p95,throughput_rows_per_second_stddev
v5-sf1-final,1,arrow-acero,cold,1,1.0,0.0,10,0,542abf4003633c7c,374.261,397.644,409.481,407.39795,11.463464890201772,704.7170125879347,761.9403509888798,847.5490841083229,847.4346340401098,42.91969276448864,267.055,288.993,297.978,297.22965,10.606963346468833,0.0,0.0,0.0,0.0,0.0,105.551,106.8305,109.659,108.87555,1.1714383798466654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,435732480.0,471490560.0,492253184.0,490454220.8,20721521.348848995,0.0,0.0,0.0,0.0,0.0,14655661.679052263,15092813.406177057,16034839.323359901,15963143.909068102,450313.45150495175
v5-sf1-final,1,arrow-acero,cold,2,1.0,0.0,10,0,542abf4003633c7c,353.173,366.71849999999995,377.263,375.77844999999996,7.512563980870087,756.2682619318366,757.9397533554584,760.4421768337488,760.1232007844374,1.2686988887017911,274.275,286.182,297.178,295.2691,8.278546034446173,0.0,0.0,0.0,0.0,0.0,77.132,78.77685,86.6495,86.106215,3.338492529753845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,452636672.0,461088768.0,499023872.0,495984435.2,17827812.847543303,0.0,0.0,0.0,0.0,0.0,15907245.078367082,16364636.87642621,16992281.40316502,16912282.606722984,338601.5282859453
v5-sf1-final,1,arrow-acero,cold,4,1.0,0.0,10,0,542abf4003633c7c,325.685,336.8795,354.539,350.86475,8.866373288379458,755.3262850269675,757.7501181513071,761.795551981777,760.4729488492012,1.7734007415346247,268.273,273.979,288.22,284.0899,6.010376812923906,0.0,0.0,0.0,0.0,0.0,55.7594,62.0125,66.1439,65.86706,3.5435399145800828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,465641472.0,488900608.0,499965952.0,498441625.6,9956865.704589536,0.0,0.0,0.0,0.0,0.0,16926812.000936426,17814950.072108008,18426439.6579517,18327749.349311847,461955.71417038294
v5-sf1-final,1,arrow-acero,cold,8,1.0,0.0,10,0,542abf4003633c7c,320.493,328.134,339.932,339.0059,7.158523380480708,753.3749509602785,758.2698329351842,761.7744840681553,761.4237060304731,2.8547508139065982,272.412,275.72749999999996,288.645,287.51685,6.115156983539607,0.0,0.0,0.0,0.0,0.0,44.3641,49.7724,51.1866,51.01659,1.9827516238242688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,464461824.0,477052928.0,499658752.0,496796262.4,11627957.414472215,0.0,0.0,0.0,0.0,0.0,17654163.18557829,18289446.465025887,18724948.75083075,18638144.0080043,393294.3677819778
v5-sf1-final,1,arrow-acero,cold,16,1.0,0.0,10,0,542abf4003633c7c,321.281,329.577,337.679,337.08365,6.35999846610742,753.8414429873228,754.722589161247,763.020166195929,762.0369697920978,3.16009005631697,273.694,281.894,292.228,290.8411,7.125750970950364,0.0,0.0,0.0,0.0,0.0,43.5765,45.46075,46.6704,46.52478,1.2132328275681008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,458108928.0,474017792.0,484925440.0,484543897.6,8748147.871970523,0.0,0.0,0.0,0.0,0.0,17771952.06098099,18209183.228987217,18679022.413401354,18665335.51144184,352498.5417068207
v5-sf1-final,1,arrow-acero,cold,32,1.0,0.0,10,0,542abf4003633c7c,313.182,321.53499999999997,350.179,345.54805,11.952360354990779,684.7101259045303,707.2309665381908,766.872838139534,743.1719285901636,21.100069008561487,268.166,273.7415,302.514,298.2102,11.771997197209622,0.0,0.0,0.0,0.0,0.0,41.9767,45.445949999999996,46.541,46.462835,1.5556895314725658,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,458686464.0,486008832.0,492421120.0,492397158.4,12898673.73454052,0.0,0.0,0.0,0.0,0.0,17137563.931589276,18664368.81275551,19162068.701266356,19133692.96429975,657349.160222561
v5-sf1-final,1,cpu-specialized,cold,1,1.0,0.0,10,0,542abf4003633c7c,84.4509,86.8925,92.6542,91.99054,2.57532291397064,501.4138207770884,502.735547022894,506.40512304380536,506.2092348234728,1.7474334596669172,55.7622,58.23895,61.6935,61.05774,1.696040730937792,0.0,0.0,0.0,0.0,0.0,26.9191,28.00225,31.3798,31.1341,1.7465543406948432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,338526208.0,338644992.0,338792448.0,338762956.8,75209.9167740236,0.0,0.0,0.0,0.0,0.0,64770026.61509138,69065919.10230535,71061587.26549983,70779426.65805675,1968352.5647012843
v5-sf1-final,1,cpu-specialized,cold,2,1.0,0.0,10,0,542abf4003633c7c,72.5171,75.48525000000001,78.409,77.41756,1.6004116956791685,423.25593112036586,425.5147110670805,530.0528933294117,529.9084903206676,46.9182302973731,56.5433,59.048649999999995,61.8389,61.445465,1.5443860205416398,0.0,0.0,0.0,0.0,0.0,14.6441,16.13565,16.7197,16.681855,0.644489006974604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,249364480.0,259500032.0,333901824.0,331356364.8,33850721.159464985,0.0,0.0,0.0,0.0,0.0,76537323.52153452,79502111.11982211,82755860.34190556,82056805.31576982,1691005.342554602
v5-sf1-final,1,cpu-specialized,cold,4,1.0,0.0,10,0,542abf4003633c7c,63.7668,65.60385,69.5906,68.653925,1.6126587672398496,380.0330478698015,505.53309451788664,506.95956498384476,506.8829321768135,53.01746736451236,55.524,56.9064,61.0075,60.045624999999994,1.5645928139437568,0.0,0.0,0.0,0.0,0.0,8.12458,8.502755,8.6237,8.6195015,0.14581563715870793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,239452160.0,333572096.0,339066880.0,338982092.8,34697523.21878707,0.0,0.0,0.0,0.0,0.0,86236000.26440354,91476589.96291718,94111904.6274864,93223264.63386601,2173995.2062256946
v5-sf1-final,1,cpu-specialized,cold,8,1.0,0.0,10,0,542abf4003633c7c,60.4628,63.3437,65.6652,65.410185,1.5842678255971179,378.8499222137034,380.9730629436672,509.28445579484105,507.6767422258854,61.070987138439996,55.6415,58.42125,60.3073,60.261625,1.5103850033462778,0.0,0.0,0.0,0.0,0.0,4.69176,4.80429,5.22709,5.128971999999999,0.16192958664871035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,217321472.0,297041920.0,339013632.0,338893824.0,40009218.98098262,0.0,0.0,0.0,0.0,0.0,91391102.13629137,94740647.38913622,99254665.67873138,98453537.84764855,2390209.9609688083
