Time (%),Total Time (ns),Count,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Operation
72.4,3360,3,1120.0,1152.0,896,1312,209.8,[CUDA memcpy Device-to-Host]
27.6,1280,3,426.7,384.0,352,544,102.9,[CUDA memset]
