Time (%),Total Time (ns),Count,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Operation
73.7,3232,3,1077.3,992.0,896,1344,235.9,[CUDA memcpy Device-to-Host]
26.3,1152,3,384.0,384.0,352,416,32.0,[CUDA memset]
