Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Style,Range
45.9,7560502,3,2520167.3,3183814.0,941140,3435548,1373258.2,PushPop,:request
21.0,3450070,1,3450070.0,3450070.0,3450070,3450070,0.0,PushPop,:measured_request
19.3,3181630,1,3181630.0,3181630.0,3181630,3181630,0.0,PushPop,:cpu_scan
8.1,1331780,1,1331780.0,1331780.0,1331780,1331780,0.0,PushPop,:hybrid_gpu_request
4.7,777145,1,777145.0,777145.0,777145,777145,0.0,PushPop,:q5_kernel
0.6,94872,1,94872.0,94872.0,94872,94872,0.0,PushPop,:output_reset
0.4,59208,1,59208.0,59208.0,59208,59208,0.0,PushPop,:d2h
0.0,6049,1,6049.0,6049.0,6049,6049,0.0,PushPop,:merge
