Time (%),Total Time (ns),Count,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Operation
71.4,3200,3,1066.7,1024.0,896,1280,195.5,[CUDA memcpy Device-to-Host]
28.6,1280,3,426.7,384.0,352,544,102.9,[CUDA memset]
