Time (%),Total Time (ns),Count,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Operation
74.2,3488,3,1162.7,1024.0,896,1568,356.8,[CUDA memcpy Device-to-Host]
25.8,1214,3,404.7,351.0,351,512,93.0,[CUDA memset]
