Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
96.9,15344987,2,7672493.5,7672493.5,3515,15341472,10845573.4,cudaEventSynchronize
2.1,335829,1,335829.0,335829.0,335829,335829,0.0,cudaLaunchKernel
0.4,58948,3,19649.3,8543.0,7751,42654,19926.6,cudaMemcpy
0.3,50366,3,16788.7,3425.0,3065,43876,23459.0,cudaMemset
0.1,18258,4,4564.5,4151.5,2083,7872,2447.4,cudaEventRecord
0.1,18237,4,4559.3,1327.0,561,15022,6999.2,cudaEventCreate
0.0,2925,4,731.3,391.0,240,1903,789.5,cudaEventDestroy
