scale_factor,experiment_id,dataset_path,dataset_manifest_sha256,result_hash,git_commit,auto_predicted_cpu_ratio,auto_selected_cpu_ratio,auto_realized_cpu_ratio,auto_p50_request_ms,best_fixed_cpu_ratio,best_fixed_p50_request_ms,regret_ms,regret_percent,regret_percent_status,break_even_status,break_even_ratio_intervals_json,fixed_curve_json
1,v7-formal-sf1-resident,data/tpch_sf1_arrow,0d7899db921b223a3f94625fa910191485f6fb050054447025b9f2abbc2729a5,542abf4003633c7c,021becd1b10f84aaed87858e45eb15a915cf6adc,0.24319614604075737,0.26209092658736605,0.26209092658736605,1.5528105,0.125,1.1597629999999999,0.3930475000000002,33.890329317282955,measured,observed,"[[0.25,0.375]]","[{""cpu_ratio"":0.125,""p50_request_ms"":1.1597629999999999,""sample_count"":10},{""cpu_ratio"":0.25,""p50_request_ms"":1.5170124999999999,""sample_count"":10},{""cpu_ratio"":0.375,""p50_request_ms"":2.2133235,""sample_count"":10},{""cpu_ratio"":0.5,""p50_request_ms"":2.5527015,""sample_count"":10},{""cpu_ratio"":0.625,""p50_request_ms"":3.0570135,""sample_count"":10},{""cpu_ratio"":0.75,""p50_request_ms"":3.6821395,""sample_count"":10},{""cpu_ratio"":0.875,""p50_request_ms"":4.342623,""sample_count"":10}]"
10,v7-formal-sf10-resident,data/tpch_sf10_arrow,44ddfec1e929264542ce28276a900b0dac3968ee102cae3475574a933e7af8ea,b1351a421ba8dcfd,021becd1b10f84aaed87858e45eb15a915cf6adc,0.2887329010669868,0.28842544930278124,0.28842544930278124,10.9799595,0.375,10.054269,0.9256905,9.206939858084164,measured,observed,"[[0.25,0.375],[0.375,0.5]]","[{""cpu_ratio"":0.125,""p50_request_ms"":12.5157035,""sample_count"":10},{""cpu_ratio"":0.25,""p50_request_ms"":11.5218475,""sample_count"":10},{""cpu_ratio"":0.375,""p50_request_ms"":10.054269,""sample_count"":10},{""cpu_ratio"":0.5,""p50_request_ms"":13.389777500000001,""sample_count"":10},{""cpu_ratio"":0.625,""p50_request_ms"":15.957733000000001,""sample_count"":10},{""cpu_ratio"":0.75,""p50_request_ms"":18.9776275,""sample_count"":10},{""cpu_ratio"":0.875,""p50_request_ms"":21.933439,""sample_count"":10}]"
