scale_factor,config_id,engine,threads,ratio_mode,cpu_ratio,gpu_ratio,dataset_load_ms,session_setup_ms,plan_build_ms,host_staging_ms,allocation_ms,initial_h2d_ms,tune_ms,resident_host_bytes,resident_gpu_bytes,resident_pinned_bytes,selected_cpu_ratio,predicted_cpu_ratio,realized_cpu_ratio
10,cpu-specialized-t08,cpu-specialized,8,fixed,1.0,0.0,2917.909425,613.923865,606.353698,0.0,0.0,0.0,0.0,2639842265,0,0,1.0,,
10,cpu-specialized-t16,cpu-specialized,16,fixed,1.0,0.0,2875.15878,610.970717,603.713044,0.0,0.0,0.0,0.0,2639842265,0,0,1.0,,
10,cpu-specialized-t32,cpu-specialized,32,fixed,1.0,0.0,2894.463266,601.588226,594.819658,0.0,0.0,0.0,0.0,2639842265,0,0,1.0,,
10,arrow-acero-t08,arrow-acero,8,fixed,1.0,0.0,2907.461788,0.10729,0.0,0.0,0.0,0.0,0.0,2592242759,0,0,1.0,,
10,arrow-acero-t16,arrow-acero,16,fixed,1.0,0.0,2911.394155,0.111025,0.0,0.0,0.0,0.0,0.0,2592242759,0,0,1.0,,
10,arrow-acero-t32,arrow-acero,32,fixed,1.0,0.0,2820.848699,0.107049,0.0,0.0,0.0,0.0,0.0,2592242759,0,0,1.0,,
10,gpu-copy,gpu-copy,1,fixed,0.0,1.0,2835.281304,2081.013884,608.898897,1287.621661,114.964311,61.936641693115234,0.0,1440121437,1440121260,0,0.0,,
10,gpu-managed,gpu-managed,1,fixed,0.0,1.0,2833.084614,2507.994737,605.27537,1722.8253960000002,110.065869,62.3831672668457,0.0,1440121437,1440121260,0,0.0,,
10,gpu-mapped,gpu-mapped,1,fixed,0.0,1.0,2826.781089,2795.604292,609.719597,1339.934449,838.682722,0.0,0.0,1440121437,212,1440121048,0.0,,
10,cudf,cudf,1,fixed,0.0,1.0,8523.075194098055,557.3238865472376,,,,,0.0,0,1452521599,0,0.0,,
10,hybrid-fixed-r0125-t16,hybrid-arrow,16,fixed,0.125,0.875,2829.469892,2564.859909,1194.6318,1185.16691,115.014964,54.90278244018555,0.0,1834643522,1290156120,0,0.125,,
10,hybrid-fixed-r0250-t16,hybrid-arrow,16,fixed,0.25,0.75,2830.211174,2408.895887,1196.9103060000002,1039.437023,108.108929,49.30732727050781,0.0,1988765442,1140191000,0,0.25,,
10,hybrid-fixed-r0375-t16,hybrid-arrow,16,fixed,0.375,0.625,2837.77648,2159.521316,1199.7427910000001,795.082655,107.19898,42.275840759277344,0.0,2132401582,990225860,0,0.375,,
10,hybrid-fixed-r0500-t16,hybrid-arrow,16,fixed,0.5,0.5,2850.067151,2111.913454,1284.8157879999999,662.2956569999999,106.231535,40.50931167602539,0.0,2286523502,840260740,0,0.5,,
10,hybrid-fixed-r0625-t16,hybrid-arrow,16,fixed,0.625,0.375,2844.276756,1811.257311,1206.4833079999999,448.75415299999986,111.244924,29.83203125,0.0,2440645402,690295600,0,0.625,,
10,hybrid-fixed-r0750-t16,hybrid-arrow,16,fixed,0.75,0.25,2815.351555,1661.960544,1204.247515,311.418012,107.97507,23.365535736083984,0.0,2584281562,540330480,0,0.75,,
10,hybrid-fixed-r0875-t16,hybrid-arrow,16,fixed,0.875,0.125,2818.529132,1494.409934,1195.494707,148.91740600000003,118.296203,16.975648880004883,0.0,2738403462,390365340,0,0.875,,
10,hybrid-auto-t16,hybrid-arrow,16,auto,0.28842544930278124,0.7115745506972188,2820.707473,5023.371078,1183.038842,900.817988,1.164489,46.924190521240234,2875.78121,2026551702,1094091180,0,0.28842544930278124,0.2887329010669868,0.28842544930278124
