experiment_id,scale_factor,config_id,engine,threads,ratio_mode,cpu_ratio,gpu_ratio,lifecycle,success_count,failure_count,result_hash,query_total_ms_median,query_total_ms_mean,query_total_ms_min,query_total_ms_max,query_total_ms_pstdev,query_total_ms_p25,query_total_ms_p75,query_total_ms_p95,dataset_load_ms,session_setup_ms,tune_ms,setup_cost_ms,resident_host_bytes,resident_gpu_bytes,resident_pinned_bytes,resident_total_bytes,amortized_1_request_ms,amortized_10_requests_ms,amortized_100_requests_ms
formal-sf10-resident,10,arrow-acero-t08,arrow-acero,8,fixed,1.0,0.0,resident,10,0,b1351a421ba8dcfd,3204.382227,3203.4421038,3111.526237,3273.85152,40.77605402130261,3189.2998905,3228.25944275,3254.4502497000003,2907.461788,0.10729,0.0,2907.569078,2592242759,0,0,2592242759,6111.9513050000005,3495.1391348,3233.45791778
formal-sf10-resident,10,arrow-acero-t16,arrow-acero,16,fixed,1.0,0.0,resident,10,0,b1351a421ba8dcfd,3170.28316,3158.6617511,3117.633241,3184.363719,24.58930865873172,3134.7530095,3175.6738944999997,3184.22341845,2911.394155,0.111025,0.0,2911.50518,2592242759,0,0,2592242759,6081.78834,3461.433678,3199.3982118
formal-sf10-resident,10,arrow-acero-t32,arrow-acero,32,fixed,1.0,0.0,resident,10,0,b1351a421ba8dcfd,3124.3879015,3141.2773444,3080.764859,3243.602143,45.28453779816918,3114.4134197500002,3169.7450745,3216.25310635,2820.848699,0.107049,0.0,2820.9557480000003,2592242759,0,0,2592242759,5945.3436495000005,3406.4834763000003,3152.5974589800003
formal-sf10-resident,10,cpu-specialized-t08,cpu-specialized,8,fixed,1.0,0.0,resident,10,0,b1351a421ba8dcfd,49.8462725,50.1267511,48.205973,51.885374,1.2718790567261054,49.33423825,51.42027625,51.80669195,2917.909425,613.923865,0.0,3531.8332899999996,2639842265,0,0,2639842265,3581.6795624999995,403.02960149999996,85.1646054
formal-sf10-resident,10,cpu-specialized-t16,cpu-specialized,16,fixed,1.0,0.0,resident,10,0,b1351a421ba8dcfd,26.163831000000002,26.2172933,25.834808,26.906068,0.29244224484436254,26.0830035,26.31084625,26.714565099999998,2875.15878,610.970717,0.0,3486.1294970000004,2639842265,0,0,2639842265,3512.293328,374.7767807000001,61.025125970000005
formal-sf10-resident,10,cpu-specialized-t32,cpu-specialized,32,fixed,1.0,0.0,resident,10,0,b1351a421ba8dcfd,14.954647999999999,15.013319200000002,14.885686,15.335714,0.13607182738745013,14.913481749999999,15.05164725,15.26145725,2894.463266,601.588226,0.0,3496.051492,2639842265,0,0,2639842265,3511.00614,364.55979720000005,49.91516292
formal-sf10-resident,10,cudf,cudf,1,fixed,0.0,1.0,resident,10,0,b1351a421ba8dcfd,27.906041126698256,28.14676072448492,27.722854167222977,29.570078011602163,0.5273703838528101,27.808298589661717,28.329309658147395,29.0345745626837,8523.075194098055,557.3238865472376,0.0,9080.399080645293,0,1452521599,0,1452521599,9108.305121771991,935.9459491912276,118.71003193315119
formal-sf10-resident,10,gpu-copy,gpu-copy,1,fixed,0.0,1.0,resident,10,0,b1351a421ba8dcfd,15.415999,15.3785183,15.1577,15.430205,0.07858893727370281,15.363902,15.4248295,15.42916415,2835.281304,2081.013884,0.0,4916.295188,1440121437,1440121260,0,2880242697,4931.711187,507.0455178,64.57895088000001
formal-sf10-resident,10,gpu-managed,gpu-managed,1,fixed,0.0,1.0,resident,10,0,b1351a421ba8dcfd,15.065824,15.1598639,15.044553,16.009946,0.283789170464431,15.054978,15.076347250000001,15.600531499999999,2833.084614,2507.994737,0.0,5341.079351,1440121437,1440121260,0,2880242697,5356.145175000001,549.1737591000001,68.47661751000001
formal-sf10-resident,10,gpu-mapped,gpu-mapped,1,fixed,0.0,1.0,resident,10,0,b1351a421ba8dcfd,358.582095,360.11181769999996,358.316961,367.31895,3.152380800007191,358.52459699999997,358.72927475,366.4500162,2826.781089,2795.604292,0.0,5622.385381,1440121437,212,1440121048,2880242697,5980.967476,920.8206331,414.80594880999996
formal-sf10-resident,10,hybrid-auto-t16,hybrid-arrow,16,auto,0.28842544930278124,0.7115745506972188,resident,10,0,b1351a421ba8dcfd,10.9799595,10.970213099999999,10.899611,11.022403,0.033606804931293276,10.94934125,10.98488175,11.01389845,2820.707473,5023.371078,2875.78121,7844.0785510000005,2026551702,1094091180,0,3120642882,7855.058510500001,795.3878146,89.42074501000002
