scale_factor,config_id,engine,threads,ratio_mode,cpu_ratio,gpu_ratio,request_index,status,result_hash,query_total_ms,cpu_scan_ms,gpu_kernel_ms,h2d_ms,d2h_ms,overlap_wall_ms,input_lineitem_rows,matched_lineitem_rows,cpu_input_rows,gpu_input_rows,h2d_bytes,d2h_bytes,mapped_remote_read_bytes,throughput_rows_per_second,selected_cpu_ratio
10,cpu-specialized-t08,cpu-specialized,8,fixed,1.0,0.0,3,ok,b1351a421ba8dcfd,48.205973,47.901681,0.0,0.0,0.0,0.0,59986052,72985,59986052,0,0,0,0,1244369696.676385,1.0
10,cpu-specialized-t08,cpu-specialized,8,fixed,1.0,0.0,4,ok,b1351a421ba8dcfd,49.603858,49.30884,0.0,0.0,0.0,0.0,59986052,72985,59986052,0,0,0,0,1209302147.4257102,1.0
10,cpu-specialized-t08,cpu-specialized,8,fixed,1.0,0.0,5,ok,b1351a421ba8dcfd,49.842292,49.543108,0.0,0.0,0.0,0.0,59986052,72985,59986052,0,0,0,0,1203517125.5768094,1.0
10,cpu-specialized-t08,cpu-specialized,8,fixed,1.0,0.0,6,ok,b1351a421ba8dcfd,49.850253,49.565501,0.0,0.0,0.0,0.0,59986052,72985,59986052,0,0,0,0,1203324925.9537358,1.0
10,cpu-specialized-t08,cpu-specialized,8,fixed,1.0,0.0,7,ok,b1351a421ba8dcfd,50.918209,50.605825,0.0,0.0,0.0,0.0,59986052,72985,59986052,0,0,0,0,1178086448.405913,1.0
10,cpu-specialized-t08,cpu-specialized,8,fixed,1.0,0.0,8,ok,b1351a421ba8dcfd,51.885374,51.608253,0.0,0.0,0.0,0.0,59986052,72985,59986052,0,0,0,0,1156126425.9172537,1.0
10,cpu-specialized-t08,cpu-specialized,8,fixed,1.0,0.0,9,ok,b1351a421ba8dcfd,51.587632,51.287627,0.0,0.0,0.0,0.0,59986052,72985,59986052,0,0,0,0,1162799098.8227565,1.0
10,cpu-specialized-t08,cpu-specialized,8,fixed,1.0,0.0,10,ok,b1351a421ba8dcfd,51.710525,51.421796,0.0,0.0,0.0,0.0,59986052,72985,59986052,0,0,0,0,1160035640.713375,1.0
10,cpu-specialized-t08,cpu-specialized,8,fixed,1.0,0.0,11,ok,b1351a421ba8dcfd,48.41903,48.114598,0.0,0.0,0.0,0.0,59986052,72985,59986052,0,0,0,0,1238894129.0232375,1.0
10,cpu-specialized-t08,cpu-specialized,8,fixed,1.0,0.0,12,ok,b1351a421ba8dcfd,49.244365,48.983116,0.0,0.0,0.0,0.0,59986052,72985,59986052,0,0,0,0,1218130277.4439268,1.0
10,cpu-specialized-t16,cpu-specialized,16,fixed,1.0,0.0,3,ok,b1351a421ba8dcfd,25.89039,25.571737,0.0,0.0,0.0,0.0,59986052,72985,59986052,0,0,0,0,2316923460.7898917,1.0
10,cpu-specialized-t16,cpu-specialized,16,fixed,1.0,0.0,4,ok,b1351a421ba8dcfd,26.202854,25.888948,0.0,0.0,0.0,0.0,59986052,72985,59986052,0,0,0,0,2289294593.634724,1.0
10,cpu-specialized-t16,cpu-specialized,16,fixed,1.0,0.0,5,ok,b1351a421ba8dcfd,26.095104,25.772325,0.0,0.0,0.0,0.0,59986052,72985,59986052,0,0,0,0,2298747381.8843565,1.0
10,cpu-specialized-t16,cpu-specialized,16,fixed,1.0,0.0,6,ok,b1351a421ba8dcfd,25.834808,25.507792,0.0,0.0,0.0,0.0,59986052,72985,59986052,0,0,0,0,2321908179.073752,1.0
10,cpu-specialized-t16,cpu-specialized,16,fixed,1.0,0.0,7,ok,b1351a421ba8dcfd,26.480506,26.15939,0.0,0.0,0.0,0.0,59986052,72985,59986052,0,0,0,0,2265291003.1250916,1.0
10,cpu-specialized-t16,cpu-specialized,16,fixed,1.0,0.0,8,ok,b1351a421ba8dcfd,26.124808,25.795869,0.0,0.0,0.0,0.0,59986052,72985,59986052,0,0,0,0,2296133697.9012437,1.0
10,cpu-specialized-t16,cpu-specialized,16,fixed,1.0,0.0,9,ok,b1351a421ba8dcfd,26.906068,26.585932,0.0,0.0,0.0,0.0,59986052,72985,59986052,0,0,0,0,2229461844.81508,1.0
10,cpu-specialized-t16,cpu-specialized,16,fixed,1.0,0.0,10,ok,b1351a421ba8dcfd,26.34198,26.029917,0.0,0.0,0.0,0.0,59986052,72985,59986052,0,0,0,0,2277203611.877315,1.0
10,cpu-specialized-t16,cpu-specialized,16,fixed,1.0,0.0,11,ok,b1351a421ba8dcfd,26.07897,25.740658,0.0,0.0,0.0,0.0,59986052,72985,59986052,0,0,0,0,2300169523.566306,1.0
10,cpu-specialized-t16,cpu-specialized,16,fixed,1.0,0.0,12,ok,b1351a421ba8dcfd,26.217445,25.906704,0.0,0.0,0.0,0.0,59986052,72985,59986052,0,0,0,0,2288020514.58485,1.0
10,cpu-specialized-t32,cpu-specialized,32,fixed,1.0,0.0,3,ok,b1351a421ba8dcfd,14.902401,14.520163,0.0,0.0,0.0,0.0,59986052,72985,59986052,0,0,0,0,4025260895.878456,1.0
10,cpu-specialized-t32,cpu-specialized,32,fixed,1.0,0.0,4,ok,b1351a421ba8dcfd,14.925364,14.555786,0.0,0.0,0.0,0.0,59986052,72985,59986052,0,0,0,0,4019067943.6695814,1.0
10,cpu-specialized-t32,cpu-specialized,32,fixed,1.0,0.0,5,ok,b1351a421ba8dcfd,15.056039,14.667582,0.0,0.0,0.0,0.0,59986052,72985,59986052,0,0,0,0,3984185481.985003,1.0
10,cpu-specialized-t32,cpu-specialized,32,fixed,1.0,0.0,6,ok,b1351a421ba8dcfd,14.953406,14.578429,0.0,0.0,0.0,0.0,59986052,72985,59986052,0,0,0,0,4011531018.418145,1.0
10,cpu-specialized-t32,cpu-specialized,32,fixed,1.0,0.0,7,ok,b1351a421ba8dcfd,14.885686,14.508115,0.0,0.0,0.0,0.0,59986052,72985,59986052,0,0,0,0,4029780824.343601,1.0
10,cpu-specialized-t32,cpu-specialized,32,fixed,1.0,0.0,8,ok,b1351a421ba8dcfd,14.95589,14.560464,0.0,0.0,0.0,0.0,59986052,72985,59986052,0,0,0,0,4010864749.607011,1.0
10,cpu-specialized-t32,cpu-specialized,32,fixed,1.0,0.0,9,ok,b1351a421ba8dcfd,15.038472,14.664628,0.0,0.0,0.0,0.0,59986052,72985,59986052,0,0,0,0,3988839557.6359086,1.0
10,cpu-specialized-t32,cpu-specialized,32,fixed,1.0,0.0,10,ok,b1351a421ba8dcfd,15.170699,14.789564,0.0,0.0,0.0,0.0,59986052,72985,59986052,0,0,0,0,3954073045.678383,1.0
10,cpu-specialized-t32,cpu-specialized,32,fixed,1.0,0.0,11,ok,b1351a421ba8dcfd,14.909521,14.552011,0.0,0.0,0.0,0.0,59986052,72985,59986052,0,0,0,0,4023338643.8102202,1.0
10,cpu-specialized-t32,cpu-specialized,32,fixed,1.0,0.0,12,ok,b1351a421ba8dcfd,15.335714,14.95551,0.0,0.0,0.0,0.0,59986052,72985,59986052,0,0,0,0,3911526519.078277,1.0
10,arrow-acero-t08,arrow-acero,8,fixed,1.0,0.0,3,ok,b1351a421ba8dcfd,3189.737595,196.443341,0.0,0.0,0.0,0.0,59986052,72985,59986052,0,0,0,0,18805951.96734357,1.0
10,arrow-acero-t08,arrow-acero,8,fixed,1.0,0.0,4,ok,b1351a421ba8dcfd,3200.928967,209.626125,0.0,0.0,0.0,0.0,59986052,72985,59986052,0,0,0,0,18740200.928676218,1.0
10,arrow-acero-t08,arrow-acero,8,fixed,1.0,0.0,5,ok,b1351a421ba8dcfd,3174.436086,180.003063,0.0,0.0,0.0,0.0,59986052,72985,59986052,0,0,0,0,18896600.963097796,1.0
10,arrow-acero-t08,arrow-acero,8,fixed,1.0,0.0,6,ok,b1351a421ba8dcfd,3228.4121,209.253479,0.0,0.0,0.0,0.0,59986052,72985,59986052,0,0,0,0,18580667.567191932,1.0
10,arrow-acero-t08,arrow-acero,8,fixed,1.0,0.0,7,ok,b1351a421ba8dcfd,3111.526237,169.35359,0.0,0.0,0.0,0.0,59986052,72985,59986052,0,0,0,0,19278658.584552374,1.0
10,arrow-acero-t08,arrow-acero,8,fixed,1.0,0.0,8,ok,b1351a421ba8dcfd,3207.835487,207.27518,0.0,0.0,0.0,0.0,59986052,72985,59986052,0,0,0,0,18699852.98282848,1.0
10,arrow-acero-t08,arrow-acero,8,fixed,1.0,0.0,9,ok,b1351a421ba8dcfd,3189.153989,171.232335,0.0,0.0,0.0,0.0,59986052,72985,59986052,0,0,0,0,18809393.40242062,1.0
10,arrow-acero-t08,arrow-acero,8,fixed,1.0,0.0,10,ok,b1351a421ba8dcfd,3227.801471,208.836865,0.0,0.0,0.0,0.0,59986052,72985,59986052,0,0,0,0,18584182.62056737,1.0
10,arrow-acero-t08,arrow-acero,8,fixed,1.0,0.0,11,ok,b1351a421ba8dcfd,3230.737586,165.32402,0.0,0.0,0.0,0.0,59986052,72985,59986052,0,0,0,0,18567293.196433563,1.0
10,arrow-acero-t08,arrow-acero,8,fixed,1.0,0.0,12,ok,b1351a421ba8dcfd,3273.85152,219.244694,0.0,0.0,0.0,0.0,59986052,72985,59986052,0,0,0,0,18322777.20401932,1.0
10,arrow-acero-t16,arrow-acero,16,fixed,1.0,0.0,3,ok,b1351a421ba8dcfd,3123.873203,112.249627,0.0,0.0,0.0,0.0,59986052,72985,59986052,0,0,0,0,19202460.5679874,1.0
10,arrow-acero-t16,arrow-acero,16,fixed,1.0,0.0,4,ok,b1351a421ba8dcfd,3174.827536,142.500623,0.0,0.0,0.0,0.0,59986052,72985,59986052,0,0,0,0,18894271.049310945,1.0
10,arrow-acero-t16,arrow-acero,16,fixed,1.0,0.0,5,ok,b1351a421ba8dcfd,3175.956014,113.837409,0.0,0.0,0.0,0.0,59986052,72985,59986052,0,0,0,0,18887557.552930266,1.0
10,arrow-acero-t16,arrow-acero,16,fixed,1.0,0.0,6,ok,b1351a421ba8dcfd,3184.363719,139.72039,0.0,0.0,0.0,0.0,59986052,72985,59986052,0,0,0,0,18837688.55991039,1.0
10,arrow-acero-t16,arrow-acero,16,fixed,1.0,0.0,7,ok,b1351a421ba8dcfd,3117.633241,110.337575,0.0,0.0,0.0,0.0,59986052,72985,59986052,0,0,0,0,19240894.410260748,1.0
10,arrow-acero-t16,arrow-acero,16,fixed,1.0,0.0,8,ok,b1351a421ba8dcfd,3171.678186,135.411116,0.0,0.0,0.0,0.0,59986052,72985,59986052,0,0,0,0,18913032.3072443,1.0
10,arrow-acero-t16,arrow-acero,16,fixed,1.0,0.0,9,ok,b1351a421ba8dcfd,3158.512288,107.48903,0.0,0.0,0.0,0.0,59986052,72985,59986052,0,0,0,0,18991869.123923447,1.0
10,arrow-acero-t16,arrow-acero,16,fixed,1.0,0.0,10,ok,b1351a421ba8dcfd,3168.888134,139.345301,0.0,0.0,0.0,0.0,59986052,72985,59986052,0,0,0,0,18929684.31305313,1.0
10,arrow-acero-t16,arrow-acero,16,fixed,1.0,0.0,11,ok,b1351a421ba8dcfd,3126.83325,111.22498,0.0,0.0,0.0,0.0,59986052,72985,59986052,0,0,0,0,19184282.372588944,1.0
10,arrow-acero-t16,arrow-acero,16,fixed,1.0,0.0,12,ok,b1351a421ba8dcfd,3184.05194,145.170756,0.0,0.0,0.0,0.0,59986052,72985,59986052,0,0,0,0,18839533.126460243,1.0
10,arrow-acero-t32,arrow-acero,32,fixed,1.0,0.0,3,ok,b1351a421ba8dcfd,3080.764859,88.645502,0.0,0.0,0.0,0.0,59986052,72985,59986052,0,0,0,0,19471155.620578963,1.0
10,arrow-acero-t32,arrow-acero,32,fixed,1.0,0.0,4,ok,b1351a421ba8dcfd,3112.770581,106.519435,0.0,0.0,0.0,0.0,59986052,72985,59986052,0,0,0,0,19270951.854321703,1.0
10,arrow-acero-t32,arrow-acero,32,fixed,1.0,0.0,5,ok,b1351a421ba8dcfd,3182.826506,81.937113,0.0,0.0,0.0,0.0,59986052,72985,59986052,0,0,0,0,18846786.61778117,1.0
10,arrow-acero-t32,arrow-acero,32,fixed,1.0,0.0,6,ok,b1351a421ba8dcfd,3137.367399,102.508261,0.0,0.0,0.0,0.0,59986052,72985,59986052,0,0,0,0,19119868.466511082,1.0
10,arrow-acero-t32,arrow-acero,32,fixed,1.0,0.0,7,ok,b1351a421ba8dcfd,3119.341936,82.594361,0.0,0.0,0.0,0.0,59986052,72985,59986052,0,0,0,0,19230354.74492464,1.0
10,arrow-acero-t32,arrow-acero,32,fixed,1.0,0.0,8,ok,b1351a421ba8dcfd,3128.738807,105.237026,0.0,0.0,0.0,0.0,59986052,72985,59986052,0,0,0,0,19172598.19381273,1.0
10,arrow-acero-t32,arrow-acero,32,fixed,1.0,0.0,9,ok,b1351a421ba8dcfd,3180.537633,77.150119,0.0,0.0,0.0,0.0,59986052,72985,59986052,0,0,0,0,18860349.702392597,1.0
10,arrow-acero-t32,arrow-acero,32,fixed,1.0,0.0,10,ok,b1351a421ba8dcfd,3243.602143,111.988936,0.0,0.0,0.0,0.0,59986052,72985,59986052,0,0,0,0,18493652.845018484,1.0
10,arrow-acero-t32,arrow-acero,32,fixed,1.0,0.0,11,ok,b1351a421ba8dcfd,3106.786584,86.187451,0.0,0.0,0.0,0.0,59986052,72985,59986052,0,0,0,0,19308069.72996765,1.0
10,arrow-acero-t32,arrow-acero,32,fixed,1.0,0.0,12,ok,b1351a421ba8dcfd,3120.036996,103.226467,0.0,0.0,0.0,0.0,59986052,72985,59986052,0,0,0,0,19226070.741117585,1.0
