Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Style,Range
45.3,54103475,3,18034491.7,21534581.0,10848837,21720057,6223650.5,PushPop,:request
18.2,21734379,1,21734379.0,21734379.0,21734379,21734379,0.0,PushPop,:measured_request
18.0,21532839,1,21532839.0,21532839.0,21532839,21532839,0.0,PushPop,:cpu_scan
9.3,11133801,1,11133801.0,11133801.0,11133801,11133801,0.0,PushPop,:hybrid_gpu_request
8.9,10666916,1,10666916.0,10666916.0,10666916,10666916,0.0,PushPop,:q5_kernel
0.1,108021,1,108021.0,108021.0,108021,108021,0.0,PushPop,:output_reset
0.1,66819,1,66819.0,66819.0,66819,66819,0.0,PushPop,:d2h
0.0,5499,1,5499.0,5499.0,5499,5499,0.0,PushPop,:merge
