Time (%),Total Time (ns),Count,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Operation
72.5,3616,3,1205.3,1120.0,896,1600,359.7,[CUDA memcpy Device-to-Host]
27.5,1375,3,458.3,384.0,351,640,158.2,[CUDA memset]
