Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Style,Range
42.3,372704031,1,372704031.0,372704031.0,372704031,372704031,0.0,PushPop,:measured_request
42.3,372679254,1,372679254.0,372679254.0,372679254,372679254,0.0,PushPop,:request
15.4,135673805,1,135673805.0,135673805.0,135673805,135673805,0.0,PushPop,:q5_kernel
0.0,106027,1,106027.0,106027.0,106027,106027,0.0,PushPop,:d2h
0.0,66649,1,66649.0,66649.0,66649,66649,0.0,PushPop,:output_reset
