Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
99.6,135254772,2,67627386.0,67627386.0,3205,135251567,95635033.9,cudaEventSynchronize
0.3,363941,1,363941.0,363941.0,363941,363941,0.0,cudaLaunchKernel
0.1,75974,3,25324.7,8303.0,7902,59769,29830.3,cudaMemcpy
0.0,55995,3,18665.0,3666.0,3626,48703,26013.7,cudaMemset
0.0,30294,4,7573.5,7586.0,1903,13219,5377.1,cudaEventRecord
0.0,27350,4,6837.5,3234.5,591,20290,9166.9,cudaEventCreate
0.0,5278,4,1319.5,446.0,230,4156,1895.7,cudaEventDestroy
