Time (%),Total Time (ns),Count,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Operation
73.1,3392,3,1130.7,1056.0,928,1408,248.6,[CUDA memcpy Device-to-Host]
26.9,1247,3,415.7,384.0,352,511,84.1,[CUDA memset]
