algo,variant,r_exp,r_size,s_size,payload_width,radix_bits,threads,repeats,ok_runs,status,throughput_mtps,time_ms,vector_total_bytes,extra_space_ratio,raw_csv
NPO,NPO,14,16384,1073741824,,,64,1,1,OK,8192.812581,131.059,2360456,0.00027479,final-full-main-s2e30.raw.csv
PRO,PRO,14,16384,1073741824,,18,64,1,1,OK,1269.567539,845.754,,,final-full-main-s2e30.raw.csv
VJ,VJ_pw1,14,16384,1073741824,1,,64,1,1,OK,7962.549400,134.849,32770,0.00000381,final-full-main-s2e30.raw.csv
VJ,VJ_pw2,14,16384,1073741824,2,,64,1,1,OK,8411.147246,127.657,49155,0.00000572,final-full-main-s2e30.raw.csv
VJ,VJ_pw4,14,16384,1073741824,4,,64,1,1,OK,9785.486148,109.728,81925,0.00000954,final-full-main-s2e30.raw.csv
NPO,NPO,15,32768,1073741824,,,64,1,1,OK,7678.634276,139.835,2622600,0.00030530,final-full-main-s2e30.raw.csv
PRO,PRO,15,32768,1073741824,,18,64,1,1,OK,1191.085151,901.482,,,final-full-main-s2e30.raw.csv
VJ,VJ_pw1,15,32768,1073741824,1,,64,1,1,OK,8044.335576,133.478,65538,0.00000763,final-full-main-s2e30.raw.csv
VJ,VJ_pw2,15,32768,1073741824,2,,64,1,1,OK,8781.799344,122.269,98307,0.00001144,final-full-main-s2e30.raw.csv
VJ,VJ_pw4,15,32768,1073741824,4,,64,1,1,OK,10086.155199,106.457,163845,0.00001907,final-full-main-s2e30.raw.csv
NPO,NPO,16,65536,1073741824,,,64,1,1,OK,6028.091959,178.123,3146888,0.00036632,final-full-main-s2e30.raw.csv
PRO,PRO,16,65536,1073741824,,18,64,1,1,OK,1156.907259,928.114,,,final-full-main-s2e30.raw.csv
VJ,VJ_pw1,16,65536,1073741824,1,,64,1,1,OK,7495.056708,143.260,131074,0.00001526,final-full-main-s2e30.raw.csv
VJ,VJ_pw2,16,65536,1073741824,2,,64,1,1,OK,8758.232793,122.598,196611,0.00002289,final-full-main-s2e30.raw.csv
VJ,VJ_pw4,16,65536,1073741824,4,,64,1,1,OK,10260.117571,104.652,327685,0.00003815,final-full-main-s2e30.raw.csv
NPO,NPO,17,131072,1073741824,,,64,1,1,OK,4821.796816,222.685,4195464,0.00048836,final-full-main-s2e30.raw.csv
PRO,PRO,17,131072,1073741824,,18,64,1,1,OK,1135.156036,945.898,,,final-full-main-s2e30.raw.csv
VJ,VJ_pw1,17,131072,1073741824,1,,64,1,1,OK,7973.251433,134.668,262146,0.00003051,final-full-main-s2e30.raw.csv
VJ,VJ_pw2,17,131072,1073741824,2,,64,1,1,OK,8409.302769,127.685,393219,0.00004577,final-full-main-s2e30.raw.csv
VJ,VJ_pw4,17,131072,1073741824,4,,64,1,1,OK,8982.205469,119.541,655365,0.00007629,final-full-main-s2e30.raw.csv
NPO,NPO,18,262144,1073741824,,,64,1,1,OK,4199.339927,255.693,6292616,0.00073238,final-full-main-s2e30.raw.csv
PRO,PRO,18,262144,1073741824,,18,64,1,1,OK,1104.338630,972.294,,,final-full-main-s2e30.raw.csv
VJ,VJ_pw1,18,262144,1073741824,1,,64,1,1,OK,7502.231116,143.123,524290,0.00006102,final-full-main-s2e30.raw.csv
VJ,VJ_pw2,18,262144,1073741824,2,,64,1,1,OK,7605.104039,141.187,786435,0.00009153,final-full-main-s2e30.raw.csv
VJ,VJ_pw4,18,262144,1073741824,4,,64,1,1,OK,5072.668204,211.672,1310725,0.00015255,final-full-main-s2e30.raw.csv
NPO,NPO,19,524288,1073741824,,,64,1,1,OK,3912.026815,274.472,10486920,0.00122024,final-full-main-s2e30.raw.csv
PRO,PRO,19,524288,1073741824,,18,64,1,1,OK,1104.519253,972.135,,,final-full-main-s2e30.raw.csv
VJ,VJ_pw1,19,524288,1073741824,1,,64,1,1,OK,6410.552037,167.496,1048578,0.00012201,final-full-main-s2e30.raw.csv
VJ,VJ_pw2,19,524288,1073741824,2,,64,1,1,OK,5858.318051,183.285,1572867,0.00018302,final-full-main-s2e30.raw.csv
VJ,VJ_pw4,19,524288,1073741824,4,,64,1,1,OK,5116.637951,209.853,2621445,0.00030503,final-full-main-s2e30.raw.csv
NPO,NPO,20,1048576,1073741824,,,64,1,1,OK,3690.506601,290.947,18875528,0.00219526,final-full-main-s2e30.raw.csv
PRO,PRO,20,1048576,1073741824,,18,64,1,1,OK,1062.528956,1010.553,,,final-full-main-s2e30.raw.csv
VJ,VJ_pw1,20,1048576,1073741824,1,,64,1,1,OK,4535.819301,236.725,2097154,0.00024390,final-full-main-s2e30.raw.csv
VJ,VJ_pw2,20,1048576,1073741824,2,,64,1,1,OK,4653.813551,230.723,3145731,0.00036585,final-full-main-s2e30.raw.csv
VJ,VJ_pw4,20,1048576,1073741824,4,,64,1,1,OK,4178.666646,256.958,5242885,0.00060976,final-full-main-s2e30.raw.csv
NPO,NPO,21,2097152,1073741824,,,64,1,1,OK,1954.824013,549.278,35652744,0.00414243,final-full-main-s2e30.raw.csv
PRO,PRO,21,2097152,1073741824,,18,64,1,1,OK,1107.995505,969.085,,,final-full-main-s2e30.raw.csv
VJ,VJ_pw1,21,2097152,1073741824,1,,64,1,1,OK,3629.038695,295.875,4194306,0.00048733,final-full-main-s2e30.raw.csv
VJ,VJ_pw2,21,2097152,1073741824,2,,64,1,1,OK,3650.444768,294.140,6291459,0.00073099,final-full-main-s2e30.raw.csv
VJ,VJ_pw4,21,2097152,1073741824,4,,64,1,1,OK,3300.550913,325.322,10485765,0.00121832,final-full-main-s2e30.raw.csv
NPO,NPO,22,4194304,1073741824,,,64,1,1,OK,1053.996258,1018.734,69207176,0.00802543,final-full-main-s2e30.raw.csv
PRO,PRO,22,4194304,1073741824,,18,64,1,1,OK,1103.185854,973.310,,,final-full-main-s2e30.raw.csv
VJ,VJ_pw1,22,4194304,1073741824,1,,64,1,1,OK,2933.552512,366.021,8388610,0.00097276,final-full-main-s2e30.raw.csv
VJ,VJ_pw2,22,4194304,1073741824,2,,64,1,1,OK,2698.908424,397.843,12582915,0.00145914,final-full-main-s2e30.raw.csv
VJ,VJ_pw4,22,4194304,1073741824,4,,64,1,1,OK,2223.321132,482.945,20971525,0.00243191,final-full-main-s2e30.raw.csv
NPO,NPO,23,8388608,1073741824,,,64,1,1,OK,964.026888,1113.809,136316040,0.01574626,final-full-main-s2e30.raw.csv
PRO,PRO,23,8388608,1073741824,,18,64,1,1,OK,1116.334449,961.846,,,final-full-main-s2e30.raw.csv
VJ,VJ_pw1,23,8388608,1073741824,1,,64,1,1,OK,2108.812249,509.169,16777218,0.00193798,final-full-main-s2e30.raw.csv
VJ,VJ_pw2,23,8388608,1073741824,2,,64,1,1,OK,1663.849257,645.336,25165827,0.00290698,final-full-main-s2e30.raw.csv
VJ,VJ_pw4,23,8388608,1073741824,4,,64,1,1,OK,1110.285770,967.086,41943045,0.00484496,final-full-main-s2e30.raw.csv
NPO,NPO,24,16777216,1073741824,,,64,1,1,OK,784.089685,1369.412,270533768,0.03100975,final-full-main-s2e30.raw.csv
PRO,PRO,24,16777216,1073741824,,18,64,1,1,OK,1126.269927,953.361,,,final-full-main-s2e30.raw.csv
VJ,VJ_pw1,24,16777216,1073741824,1,,64,1,1,OK,1035.262165,1037.169,33554434,0.00384615,final-full-main-s2e30.raw.csv
VJ,VJ_pw2,24,16777216,1073741824,2,,64,1,1,OK,716.631944,1498.317,50331651,0.00576923,final-full-main-s2e30.raw.csv
VJ,VJ_pw4,24,16777216,1073741824,4,,64,1,1,OK,606.643395,1769.972,83886085,0.00961539,final-full-main-s2e30.raw.csv
NPO,NPO,25,33554432,1073741824,,,64,1,1,OK,675.981478,1588.419,538969224,0.06084293,final-full-main-s2e30.raw.csv
PRO,PRO,25,33554432,1073741824,,18,64,1,1,OK,1124.075685,955.222,,,final-full-main-s2e30.raw.csv
VJ,VJ_pw1,25,33554432,1073741824,1,,64,1,1,OK,444.256163,2416.943,67108866,0.00757576,final-full-main-s2e30.raw.csv
VJ,VJ_pw2,25,33554432,1073741824,2,,64,1,1,OK,370.648433,2896.928,100663299,0.01136364,final-full-main-s2e30.raw.csv
VJ,VJ_pw4,25,33554432,1073741824,4,,64,1,1,OK,353.522601,3037.265,167772165,0.01893939,final-full-main-s2e30.raw.csv
NPO,NPO,26,67108864,1073741824,,,64,1,1,OK,570.923046,1880.712,1075840136,0.11787697,final-full-main-s2e30.raw.csv
PRO,PRO,26,67108864,1073741824,,18,64,1,1,OK,1096.871554,978.913,,,final-full-main-s2e30.raw.csv
VJ,VJ_pw1,26,67108864,1073741824,1,,64,1,1,OK,245.111168,4380.632,134217730,0.01470588,final-full-main-s2e30.raw.csv
VJ,VJ_pw2,26,67108864,1073741824,2,,64,1,1,OK,227.157190,4726.867,201326595,0.02205882,final-full-main-s2e30.raw.csv
VJ,VJ_pw4,26,67108864,1073741824,4,,64,1,1,OK,218.523934,4913.612,335544325,0.03676471,final-full-main-s2e30.raw.csv
NPO,NPO,27,134217728,1073741824,,,64,1,1,OK,468.848497,2290.168,2149581960,0.22243936,final-full-main-s2e30.raw.csv
PRO,PRO,27,134217728,1073741824,,18,64,1,1,OK,1016.209143,1056.615,,,final-full-main-s2e30.raw.csv
VJ,VJ_pw1,27,134217728,1073741824,1,,64,1,1,OK,152.000989,7064.045,268435458,0.02777778,final-full-main-s2e30.raw.csv
VJ,VJ_pw2,27,134217728,1073741824,2,,64,1,1,OK,137.518798,7807.964,402653187,0.04166667,final-full-main-s2e30.raw.csv
VJ,VJ_pw4,27,134217728,1073741824,4,,64,1,1,OK,133.647088,8034.158,671088645,0.06944444,final-full-main-s2e30.raw.csv
NPO,NPO,28,268435456,1073741824,,,64,1,1,OK,373.690143,2873.348,4297065608,0.40019542,final-full-main-s2e30.raw.csv
PRO,PRO,28,268435456,1073741824,,18,64,1,1,OK,772.465573,1390.019,,,final-full-main-s2e30.raw.csv
VJ,VJ_pw1,28,268435456,1073741824,1,,64,1,1,OK,89.426745,12006.943,536870914,0.05000000,final-full-main-s2e30.raw.csv
VJ,VJ_pw2,28,268435456,1073741824,2,,64,1,1,OK,73.700139,14569.061,805306371,0.07500000,final-full-main-s2e30.raw.csv
