Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Style,Range
33.3,96955933,1,96955933.0,96955933.0,96955933,96955933,0.0,PushPop,:measured_request
33.3,96943724,1,96943724.0,96943724.0,96943724,96943724,0.0,PushPop,:request
18.7,54274545,1,54274545.0,54274545.0,54274545,54274545,0.0,PushPop,:d2h
13.9,40376301,1,40376301.0,40376301.0,40376301,40376301,0.0,PushPop,:output_reset
0.7,2060073,1,2060073.0,2060073.0,2060073,2060073,0.0,PushPop,:q5_kernel
0.1,349761,2,174880.5,174880.5,152327,197434,31895.5,PushPop,:managed_prefetch
