Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Style,Range
28.2,102105646,1,102105646.0,102105646.0,102105646,102105646,0.0,PushPop,:measured_request
28.2,102093668,1,102093668.0,102093668.0,102093668,102093668,0.0,PushPop,:request
15.5,55993819,2,27996909.5,27996909.5,217935,55775884,39285402.5,PushPop,:managed_prefetch
15.4,55813931,1,55813931.0,55813931.0,55813931,55813931,0.0,PushPop,:d2h
8.3,29980219,1,29980219.0,29980219.0,29980219,29980219,0.0,PushPop,:output_reset
4.4,16053253,1,16053253.0,16053253.0,16053253,16053253,0.0,PushPop,:q5_kernel
