Time (%),Total Time (ns),Count,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Operation
72.6,10912,4,2728.0,1679.5,1600,5953,2151.3,[CUDA memcpy Unified Host-to-Device]
27.4,4127,4,1031.8,1023.5,960,1120,71.1,[CUDA memcpy Unified Device-to-Host]
